Bank Code,Bank Name,SWIFT Code
15007000,Nepal Bahu-Uddeshiya Sahakari Sanst,Not Available
15008000,Rajshree Saving and Investment Co-o,Not Available
15009000,Sahakari Bittiya Bikas Sanstha Ltd.,Not Available
15010000,Shree Manakamana Sahakari Sanstha L,Not Available
15011000,Bheri Sahakari Sanstha Ltd.,Not Available
15012000,Biku Bachat tatha Rin Sahakari Sans,Not Available
15013000,Amarawati Bahu-Uddeshiya Sahakari S,Not Available
15014000,Kisan Bahu-Uddeshiya Sahakari Sanst,Not Available
15015000,Himalaya Sahakari Sanstha Ltd.,Not Available
15016000,Star Bahu-Uddeshiya Bachat tatha Ri,Not Available
15017000,Upakar Bachat Kosh tatha Rin Sahaka,Not Available
15018000,Rashtriya Sahakari Bank Ltd.,Not Available
16001000,Nepal Grameen Bikas Samaj Kendra,Not Available
16002000,Nepal Grameen Bikas Sanstha,Not Available
16003000,Nepal Sikara Grameen Bikas Karyakra,Not Available
16004000,Chartare Yuba Club,Not Available
16005000,Mahuli Samudayik Bikas Kendra,Not Available
16006000,Samuhik Yuba Club,Not Available
16007000,Samudayik Mahila Bikas Kendra,Not Available
16008000,Grameen Samudayako Lagi Yojana Prat,Not Available
16009000,Grameen Jagaran Manch,Not Available
16010000,Sarbodaya Grameen Bikas Sangh,Not Available
16011000,Jan Jagaran Manch,Not Available
16012000,Rastriya Shaichhik Tatha Samajik Bi,Not Available
16013000,Dhaulagiri Samudayik Srot Bikas,Not Available
16014000,Nepal Batabaran Tatha Pradusan Unmu,Not Available
16015000,Bikaska Lagi Sthaniya Swayam Sebak,Not Available
16016000,Nepal Mahila Udhyami Sangh,Not Available
16017000,Mahila Adhikar Tatha Bikas Kendra,Not Available
16018000,MANUSHI,Not Available
16019000,Jeewan Bikas Samaj,Not Available
16020000,Nari Utthan Tatha Balbalika Samranc,Not Available
16021000,Mahila Adarsha Sewa Kendra,Not Available
16022000,Patan Business and Professional Wom,Not Available
16023000,Nari Utthan Kendra,Not Available
16024000,Mahila Swabalamban Samaj,Not Available
16025000,Nepal Mahila Utthan Kendra,Not Available
